,Title,Code,Date,Price per m² (triệu/m²),Total Price (tỷ),Area (m²),Bedroom Number,Bathroom Number,Legal Status,Furniture,District
121,"Nhà mới, đẹp đón tết phố Võ Chí Công 35m2*5T, sát phố, gần ô tô, full nội thất.",42027064.0,2025-11-01 00:00:00,188.57,6.6,35.0,3.0,0.0,Sổ đỏ/ Sổ hồng,NAN,Cầu Giấy
122,"Bán gấp căn liền kề 85m2, xây thô 4,5 tầng, sổ đỏ, ngay trục đường Trịnh Văn Bô, Huyện Hoài Đức",41173916.0,2025-11-01 00:00:00,121.18,10.3,85.0,6.0,4.0,Sổ đỏ/ Sổ hồng,Không nội thất.,Hoài Đức
123,"Mở bán căn hộ mini Lĩnh Nam - Hoàng Mai 35 - 55m2/1 - 2PN, full đồ",41997933.0,2025-06-01 00:00:00,0.0,1.08,50.0,2.0,1.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Hoàng Mai
124,"Siêu phẩm Chúc Sơn, Chương Mỹ 32m2, ô tô, kinh doanh, giá nhỉnh 2 tỷ",41991829.0,2025-05-01 00:00:00,78.12,2.5,32.0,0.0,0.0,Sổ đỏ/ Sổ hồng,NAN,Chương Mỹ
125,"Bán nhà Nguyễn Cao, thang máy, 15m ra ô tô, trước nhà sân để xe cực rộng",41815308.0,2025-08-01 00:00:00,259.6,12.98,50.0,3.0,0.0,Sổ đỏ/ Sổ hồng,NAN,Hai Bà Trưng
126,"Cần bán gấp 2 phòng ngủ DT 67m2 chung cư Bộ Tư Lệnh giá 3,25 tỷ",33958307.0,2025-10-01 00:00:00,48.51,3.25,67.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Nội thất đẹp làm cẩn thận.,Hà Đông
127,"Bán nhà 6.5 tầng Yên Lũng, An Khánh, đường to kinh doanh cực tốt",40834256.0,2025-10-01 00:00:00,219.78,14.0,63.7,0.0,0.0,Sổ đỏ/ Sổ hồng,Cơ bản,Hoài Đức
128,"Bán nhà phân lô Kim Đồng, Hoàng Mai, 65m2 vỉa hè, 2 thoáng, kinh doanh, văn phòng tốt",41468030.0,2025-03-01 00:00:00,275.38,17.9,65.0,4.0,5.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Hoàng Mai
129,Bán nhà 4 tầng đẹp giá rẻ nhất thị trường tại Quan Nhân Thanh Xuân,41661881.0,2025-09-01 00:00:00,190.38,4.95,26.0,2.0,3.0,Sổ đỏ/ Sổ hồng,NAN,Thanh Xuân
130,"Bán căn 2PN / 88m2, full nội thất, view Hồ Tây - giá 9.5 tỷ, sổ cầm tay",34791833.0,2025-10-01 00:00:00,107.96,9.5,88.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Full nội thất,Tây Hồ
131,"Bán nhà Lò Đúc - Nguyễn Cao 5 tầng 50m2, mặt tiền rộng thang máy vù vù, kinh doanh tốt",41955968.0,2025-11-01 00:00:00,255.6,12.78,50.0,3.0,5.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Hai Bà Trưng
132,Chính chủ cần thanh khoản gấp căn hộ 72m2 tại HH2 Linh Đàm nhà đầy đủ nội thất giá tốt 0965 289 ***,41435803.0,2025-11-01 00:00:00,35.21,2.5,71.0,2.0,2.0,Hợp đồng mua bán,NAN,Hoàng Mai
133,"MP lớn Minh Khai - sát ngã 4 Chiến Lược. Mặt tiền + vỉa hè siêu siêu rộng, 7 tầng thang máy",39474342.0,2025-10-01 00:00:00,591.67,35.5,60.0,0.0,0.0,Sổ đỏ/ Sổ hồng.,NAN,Hai Bà Trưng
134,"PKD CĐT cập nhật quỹ căn VIP tại Diamond Park 16 Láng Hạ, suất ngoại giao 1PN-3PN. Giá tốt-đã có sổ",32639133.0,2025-04-01 00:00:00,105.36,5.9,56.0,1.0,1.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Ba Đình
135,"Vip Lò Đúc, HBT ngõ thông KD - vài bước ra phố & hồ Hai Bà Trưng - DT 49m2 + 6tầng giá nhỉnh 10 tỷ",42005818.0,2025-07-01 00:00:00,210.2,10.3,49.0,5.0,0.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Hai Bà Trưng
136,"Bán đất công nghiệp cụm Xà Cầu Ứng Hoà, giá hơn 7triệu/m2 đã bao gồm VAT miễn tiền thuê đất 50 năm",40881794.0,2025-07-01 00:00:00,6.99,6.99,1.0,0.0,0.0,Đang chờ sổ,NAN,Ứng Hòa
137,"Chính chủ nhờ bán căn CC HUD3 Nguyễn Đức Cảnh, tầng trung đẹp nhà lô góc thoáng sáng, full nội thất",40873608.0,2025-11-01 00:00:00,68.57,4.8,70.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ.,Hoàng Mai
